generation_id,objective,is_feasible,path
Gen 00109,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00110,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00111,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00112,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00113,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00114,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00115,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00116,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00117,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00118,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00119,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00120,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00121,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00122,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00123,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00124,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00125,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00126,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00127,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00128,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00129,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00130,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00131,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00132,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00133,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00134,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00135,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00136,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00137,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00138,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00139,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00140,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00141,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00142,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00143,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00144,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00145,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00146,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00147,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00148,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00149,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00150,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00151,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00152,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00153,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00154,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00155,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00156,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00157,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00158,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00159,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00160,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00161,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00162,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00163,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00164,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00165,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00166,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00167,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00168,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00169,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00170,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00171,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00172,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00173,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00174,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00175,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00176,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00177,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00178,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00179,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00180,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00181,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00182,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00183,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00184,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00185,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00186,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00187,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00188,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00189,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00190,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00191,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00192,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00193,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
